#TYPE Microsoft.ActiveDirectory.Management.ADGroup
"distinguishedName","GroupCategory","GroupScope","name","objectClass","objectGUID","SamAccountName","SID"
"CN=Domain Users,CN=Users,DC=bsg,DC=ad,DC=adp,DC=com","Security","Global","Domain Users","group","db8eb22a-70cb-4c68-b3dc-ab2cda418034","Domain Users","S-1-5-21-1064954374-356710528-997385118-513"
"CN=BR-Tier1PasswordPolicy,OU=ADMIN Groups,OU=ADMIN,DC=bsg,DC=ad,DC=adp,DC=com","Security","Global","BR-Tier1PasswordPolicy","group","cc1c7c2e-af5c-419c-9b4e-efeb0df0ae93","BR-Tier1PasswordPolicy","S-1-5-21-1064954374-356710528-997385118-116275"
"CN=Office365-ExchangeHDAdmins,OU=EDGE Groups,OU=Edge,DC=bsg,DC=ad,DC=adp,DC=com","Security","Universal","Office365-ExchangeHDAdmins","group","a1378dbe-29f3-43e2-98f6-7b3e2bf1e3d4","Office365-ExchangeHDAdmins","S-1-5-21-1064954374-356710528-997385118-208122"
